ID,Body,Question,Equation,Answer,Type,question_concat
chal-93,Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend.,How many cookies did paco have left?,( ( 40.0 - 5.0 ) - 13.0 ),22,Subtraction,Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend. How many cookies did paco have left?
chal-918,Nell collects baseball cards. She had 528 cards while Jeff had 11 cards. She gave some of her cards to jeff and now has 252 cards left.,How many cards did Nell give to Jeff?,( 528.0 - 252.0 ),276,Subtraction,Nell collects baseball cards. She had 528 cards while Jeff had 11 cards. She gave some of her cards to jeff and now has 252 cards left. How many cards did Nell give to Jeff?
chal-490,After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially,How much did she spend?,( 54.0 - 29.0 ),25,Subtraction,After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially How much did she spend?
chal-452,A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block,How many houses are there in a block?,( 25.0 / 5.0 ),5,Common-Division,A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block How many houses are there in a block?
chal-252,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested tomatoes?,( 144.0 - 79.0 ),65,Subtraction,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested tomatoes?
chal-654,For Gwen's birthday she received some dollars. She spent 8 dollars and has 6 dollars left with her.,How much money did Gwen receive for her birthday?,( 8.0 + 6.0 ),14,Addition,For Gwen's birthday she received some dollars. She spent 8 dollars and has 6 dollars left with her. How much money did Gwen receive for her birthday?
chal-770,Dave had 19 apps on his phone. He deleted 5 apps.,How many apps are left on his phone?,( 19.0 - 5.0 ),14,Subtraction,Dave had 19 apps on his phone. He deleted 5 apps. How many apps are left on his phone?
chal-671,Julia played tag with 7 kids on monday and 13 kids on tuesday. She played cards wtih 20 kids on wednesday.,How many kids did she play tag with altogether?,( 7.0 + 13.0 ),20,Addition,Julia played tag with 7 kids on monday and 13 kids on tuesday. She played cards wtih 20 kids on wednesday. How many kids did she play tag with altogether?
chal-130,Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar.,How many more cups of flour does she need to add?,( 14.0 - 7.0 ),7,Subtraction,Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar. How many more cups of flour does she need to add?
chal-638,Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles.,How many eggs will each group have?,( 8.0 / 4.0 ),2,Common-Division,Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles. How many eggs will each group have?
chal-992,In a school there are 308 girls and 318 boys. There are also 36 teachers,How many pupils are there in that school?,( 308.0 + 318.0 ),626,Addition,In a school there are 308 girls and 318 boys. There are also 36 teachers How many pupils are there in that school?
chal-343,Rachel had to complete 3 pages of math homework and 4 pages of reading homework.,How many more pages of reading homework than math homework did she have?,( 4.0 - 3.0 ),1,Subtraction,Rachel had to complete 3 pages of math homework and 4 pages of reading homework. How many more pages of reading homework than math homework did she have?
chal-309,He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it.,How many saltwater animals does Tyler have?,( 56.0 * 39.0 ),2184,Multiplication,He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have?
chal-137,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars.,How much money did they earn by washing cars?,( 115.0 - 111.0 ),4,Subtraction,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars. How much money did they earn by washing cars?
chal-89,Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend.,How many more cookies did he give to his friend than those he ate?,( 21.0 - 16.0 ),5,Subtraction,Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate?
chal-328,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game,How many rounds did he play?,( 78.0 / 3.0 ),26,Common-Division,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game How many rounds did he play?
chal-476,There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches,How many baskets of peaches are there?,( 10.0 / ( 4.0 + 6.0 ) ),1,Common-Division,There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches How many baskets of peaches are there?
chal-982,62 campers went rowing in the morning. 39 campers went rowing in the afternoon.,How many more campers went rowing in the morning than in the afternoon?,( 62.0 - 39.0 ),23,Subtraction,62 campers went rowing in the morning. 39 campers went rowing in the afternoon. How many more campers went rowing in the morning than in the afternoon?
chal-851,The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys.,How much money did they make from selling the t-shirts?,( 62.0 * 183.0 ),11346,Multiplication,The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys. How much money did they make from selling the t-shirts?
chal-893,52 campers went rowing in the morning. 61 campers went rowing in the afternoon.,How many more campers went rowing in the afternoon than in the morning?,( 61.0 - 52.0 ),9,Subtraction,52 campers went rowing in the morning. 61 campers went rowing in the afternoon. How many more campers went rowing in the afternoon than in the morning?
chal-376,The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys.,How much money did they make from selling the jerseys?,( 76.0 * 2.0 ),152,Multiplication,The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys?
chal-179,"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening.",How many emails did Jack receive in the day?,( ( 6.0 + 3.0 ) + 5.0 ),14,Addition,"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening. How many emails did Jack receive in the day?"
chal-27,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate,How many students participated in the suggestion of new food items?,( 450.0 + 38.0 ),488,Addition,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?
chal-350,"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket",How many green peaches are in the basket?,( 3.0 + 10.0 ),13,Addition,"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket How many green peaches are in the basket?"
chal-500,Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day,How many days would the water bottles last?,( 180.0 / 15.0 ),12,Common-Division,Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day How many days would the water bottles last?
chal-475,Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book.,How many pages did he read per day?,( 612.0 / 6.0 ),102,Common-Division,Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book. How many pages did he read per day?
chal-618,Katie had 57 new games and 39 old games. Her friends had 34 new games.,How many more games does Katie have than her friends?,( ( 57.0 + 39.0 ) - 34.0 ),62,Subtraction,Katie had 57 new games and 39 old games. Her friends had 34 new games. How many more games does Katie have than her friends?
chal-698,"Jack received 10 emails in the morning, 7 emails in the afternoon and 17 emails in the evening.",How many more emails did Jack receive in the morning than in the afternoon?,( 10.0 - 7.0 ),3,Subtraction,"Jack received 10 emails in the morning, 7 emails in the afternoon and 17 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?"
chal-51,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding",How many alligators were not hiding?,( 97.0 - 40.0 ),57,Subtraction,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding?"
chal-212,Shirley sold 25 cases of boxes of trefoils.,How many boxes of trefoils does she need to deliver if each case has 14 boxes?,( 25.0 * 14.0 ),350,Multiplication,Shirley sold 25 cases of boxes of trefoils. How many boxes of trefoils does she need to deliver if each case has 14 boxes?
chal-382,Jesse's room is 19 feet wide and 20 feet long.,How much longer is her room than it is wide?,( 20.0 - 19.0 ),1,Subtraction,Jesse's room is 19 feet wide and 20 feet long. How much longer is her room than it is wide?
chal-884,There were 53 dollars in Olivia's wallet. She collected 91 more dollars from an atm. After she visited a supermarket there were 14 dollars left.,How much more money did she spend at the supermarket than she collected at the atm?,( 53.0 - 14.0 ),39,Subtraction,There were 53 dollars in Olivia's wallet. She collected 91 more dollars from an atm. After she visited a supermarket there were 14 dollars left. How much more money did she spend at the supermarket than she collected at the atm?
chal-174,A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple.,How many bottles of diet soda did they have?,( 17.0 - 9.0 ),8,Subtraction,A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple. How many bottles of diet soda did they have?
chal-148,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax,How many grams of wax does he already have?,( 628.0 - 159.0 ),469,Subtraction,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax How many grams of wax does he already have?
chal-420,Kelly has 20 nintendo games and 70 sony games.,How many nintendo games does she need to give away so that she will have 12 nintendo games left?,( 20.0 - 12.0 ),8,Subtraction,Kelly has 20 nintendo games and 70 sony games. How many nintendo games does she need to give away so that she will have 12 nintendo games left?
chal-962,"Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day.",How many drums of grapes would be filled in 58 days?,( 108.0 * 58.0 ),6264,Multiplication,"Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day. How many drums of grapes would be filled in 58 days?"
chal-149,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages,How many days did he take to finish the book?,( 576.0 / 8.0 ),72,Common-Division,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages How many days did he take to finish the book?
chal-976,Winter is almost here and most animals are migrating to warmer countries. There are some bird families living near the mountain. 20 bird families flew away for winter while 14 bird families stayed behind.,How many bird families were living near the mountain at the start?,( 20.0 + 14.0 ),34,Addition,Winter is almost here and most animals are migrating to warmer countries. There are some bird families living near the mountain. 20 bird families flew away for winter while 14 bird families stayed behind. How many bird families were living near the mountain at the start?
chal-80,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.,How much money did they make from selling the t-shirts?,( 215.0 * 20.0 ),4300,Multiplication,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?
chal-776,He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges.,How many oranges are harvested if they harvest a total of 35 sacks of oranges?,( 12.0 * 35.0 ),420,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges. How many oranges are harvested if they harvest a total of 35 sacks of oranges?
chal-303,Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples.,How many apples does Jake have?,( 13.0 + 12.0 ),25,Addition,Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples. How many apples does Jake have?
chal-996,Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed.,How many flower beds did they have?,( 36.0 / 12.0 ),3,Common-Division,Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed. How many flower beds did they have?
chal-526,Brenda's mother made cookies for guests. If she prepared 38 cookies and each of them had 19 cookies,How many guests did she prepare cookies for?,( 38.0 / 19.0 ),2,Common-Division,Brenda's mother made cookies for guests. If she prepared 38 cookies and each of them had 19 cookies How many guests did she prepare cookies for?
chal-775,Together Adam and Jackie have 12 apples. He has 9 apples more than Adam and Jackie together do. Adam has 8 more apples than Jackie.,How many apples does He have?,( 12.0 + 9.0 ),21,Addition,Together Adam and Jackie have 12 apples. He has 9 apples more than Adam and Jackie together do. Adam has 8 more apples than Jackie. How many apples does He have?
chal-232,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges.,How many oranges do they harvest per day?,( 8.0 * 35.0 ),280,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges. How many oranges do they harvest per day?
chal-626,Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches.,How long is his hair now?,( ( 14.0 - 20.0 ) + 8.0 ),2,Addition,Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches. How long is his hair now?
chal-801,A waiter had 3 customers. After some left he still had 4 customers.,How many more customers stayed behind than those that left?,( 4.0 - ( 3.0 - 4.0 ) ),5,Subtraction,A waiter had 3 customers. After some left he still had 4 customers. How many more customers stayed behind than those that left?
chal-562,2 birds were sitting on the fence. Some more birds came to join them. If there are a total of 6 birds on the fence now,How many more birds had come to sit on the fence?,( 6.0 - 2.0 ),4,Subtraction,2 birds were sitting on the fence. Some more birds came to join them. If there are a total of 6 birds on the fence now How many more birds had come to sit on the fence?
chal-510,Marco and his dad went strawberry picking. Marco's strawberries weighed 15 pounds. If together their strawberries weighed 37 pounds.,How much did his dad's strawberries weigh?,( 37.0 - 15.0 ),22,Subtraction,Marco and his dad went strawberry picking. Marco's strawberries weighed 15 pounds. If together their strawberries weighed 37 pounds. How much did his dad's strawberries weigh?
chal-841,Dan has $ 4. He bought a chocolate for $ 7 and a candy bar for $ 2.,How much money did he spend to buy chocolate than he did to buy candy bar?,( 7.0 - 2.0 ),5,Subtraction,Dan has $ 4. He bought a chocolate for $ 7 and a candy bar for $ 2. How much money did he spend to buy chocolate than he did to buy candy bar?
chal-495,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary.,How many crunches did David do?,( 17.0 - 13.0 ),4,Subtraction,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary. How many crunches did David do?
chal-120,Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles,How many marbles did Doug have initially?,( 27.0 - 5.0 ),22,Subtraction,Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles How many marbles did Doug have initially?
chal-478,Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection.,How many more bottle caps did danny throw away than those he found at the park?,( 54.0 - 48.0 ),6,Subtraction,Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?
chal-145,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested bacon?,( 257.0 - 120.0 ),137,Subtraction,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?
chal-30,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.",How much did each candy bar cost?,( 4.0 / 2.0 ),2,Common-Division,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money. How much did each candy bar cost?"
chal-911,Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package.,How many pieces of gum does Robin have?,( 28.0 * 4.0 ),112,Multiplication,Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package. How many pieces of gum does Robin have?
chal-122,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning.,How many more chocolate chip cookies than raisin cakes did Helen bake?,( ( 19.0 + 237.0 ) - 231.0 ),25,Subtraction,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?
chal-606,There were 61 parents in the program and 177 pupils too. The program could seat 44 people,How many people were present in the program?,( 61.0 + 177.0 ),238,Addition,There were 61 parents in the program and 177 pupils too. The program could seat 44 people How many people were present in the program?
chal-62,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.,How many necklaces can Emily make?,( 6.0 / 3.0 ),2,Common-Division,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?
chal-872,In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy,How many marbles did she have?,( 11.0 * 9.0 ),99,Multiplication,In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy How many marbles did she have?
chal-573,Paco had 97 salty cookies and 34 sweet cookies. He ate 15 sweet cookies and 56 salty cookies.,How many sweet cookies did Paco have left?,( 34.0 - 15.0 ),19,Subtraction,Paco had 97 salty cookies and 34 sweet cookies. He ate 15 sweet cookies and 56 salty cookies. How many sweet cookies did Paco have left?
chal-6,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.,How much more money did she collect at the atm than she spent at the supermarket?,( 49.0 - 3.0 ),46,Subtraction,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?
chal-927,Matthew had 24 crackers. If Matthew gave equal numbers of crackers to his 3 friends and still had 17 crackers left,How many crackers did Matthew give to his friends?,( 24.0 - 17.0 ),7,Subtraction,Matthew had 24 crackers. If Matthew gave equal numbers of crackers to his 3 friends and still had 17 crackers left How many crackers did Matthew give to his friends?
chal-640,"Rachel had to complete 7 pages of math homework, 11 pages of reading homework and 8 more pages of biology homework.",How many more pages of reading homework than biology homework did she have?,( 11.0 - 8.0 ),3,Subtraction,"Rachel had to complete 7 pages of math homework, 11 pages of reading homework and 8 more pages of biology homework. How many more pages of reading homework than biology homework did she have?"
chal-440,Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chinese,How many hours does he spend on learning chinese?,( 7.0 - 2.0 ),5,Subtraction,Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chinese How many hours does he spend on learning chinese?
chal-730,A book has 2 chapters across 23 pages. The first chapter is 10 pages long.,How many pages are in the first chapter?,( 23.0 - 10.0 ),13,Subtraction,A book has 2 chapters across 23 pages. The first chapter is 10 pages long. How many pages are in the first chapter?
chal-194,Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars.,How much money did Fred earn over the weekend?,( 40.0 - 19.0 ),21,Subtraction,Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars. How much money did Fred earn over the weekend?
chal-753,Nell collects cards. She had 239 baseball cards and 38 Ace cards. She gave some of her cards to Jeff and now has 376 Ace cards and 111 baseball cards left.,How many more Ace cards than baseball cards does Nell have?,( 376.0 - 111.0 ),265,Subtraction,Nell collects cards. She had 239 baseball cards and 38 Ace cards. She gave some of her cards to Jeff and now has 376 Ace cards and 111 baseball cards left. How many more Ace cards than baseball cards does Nell have?
chal-627,Edward spent $ 16 to buy 92 books each book costing him the same amount of money. Now he has $ 6.,How much did Edward have before he spent his money?,( 16.0 + 6.0 ),22,Addition,Edward spent $ 16 to buy 92 books each book costing him the same amount of money. Now he has $ 6. How much did Edward have before he spent his money?
chal-572,Paul had 134 books. After giving 39 books to his friend and selling some books in a garage sale he had 68 books left.,How many books did he sell in the garage sale?,( ( 134.0 - 39.0 ) - 68.0 ),27,Subtraction,Paul had 134 books. After giving 39 books to his friend and selling some books in a garage sale he had 68 books left. How many books did he sell in the garage sale?
chal-18,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.,How many girls are there in the school now?,( 732.0 + 682.0 ),1414,Addition,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?
chal-743,Rachel picked 7 apples from her tree. Thereafter 2 new apples grew on the tree. Now the tree has 6 apples still on it.,How many apples did the tree have to begin with?,( ( 6.0 - 2.0 ) + 7.0 ),11,Addition,Rachel picked 7 apples from her tree. Thereafter 2 new apples grew on the tree. Now the tree has 6 apples still on it. How many apples did the tree have to begin with?
chal-915,Winter is almost here and most animals are migrating to warmer countries. There were 87 bird families living near the mountain. If 7 bird families flew away for winter,How many more bird families stayed behind than those that flew away for the winter?,( ( 87.0 - 7.0 ) - 7.0 ),73,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There were 87 bird families living near the mountain. If 7 bird families flew away for winter How many more bird families stayed behind than those that flew away for the winter?
chal-511,Shirley sold 10 boxes of trefoils.,How many boxes are in each case if she needs to deliver 5 cases of boxes?,( 10.0 / 5.0 ),2,Common-Division,Shirley sold 10 boxes of trefoils. How many boxes are in each case if she needs to deliver 5 cases of boxes?
chal-574,The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus.,How many students are in the school?,( 95.0 * 118.0 ),11210,Multiplication,The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school?
chal-139,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially,How many cakes did each person eat?,( 8.0 / 4.0 ),2,Common-Division,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially How many cakes did each person eat?
chal-192,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally,How many will each of the boys receive?,( 20.0 / 2.0 ),10,Common-Division,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally How many will each of the boys receive?
chal-5,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.,How many more children got on the bus than those that got off?,( 30.0 - 28.0 ),2,Subtraction,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?
chal-444,Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches.,How many peaches does Jill have?,( ( 17.0 - 7.0 ) - 8.0 ),2,Subtraction,Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches. How many peaches does Jill have?
chal-21,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.,How many cakes does baker still have?,( ( 121.0 - 105.0 ) + 170.0 ),186,Addition,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?
chal-214,There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase.,How many orchids did she cut?,( 21.0 - 2.0 ),19,Subtraction,There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase. How many orchids did she cut?
chal-65,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries,How many cakes would baker still have?,( 149.0 - 10.0 ),139,Subtraction,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries How many cakes would baker still have?
chal-412,"Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework.",How many more pages of math homework than reading homework did she have?,( 9.0 - 2.0 ),7,Subtraction,"Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework. How many more pages of math homework than reading homework did she have?"
chal-302,Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour.,How many more cups of flour than cups of sugar does she need to add now?,( ( 14.0 - 5.0 ) - 6.0 ),3,Subtraction,Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour. How many more cups of flour than cups of sugar does she need to add now?
chal-334,There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase.,How many roses did she cut?,( ( 23.0 + 4.0 ) - 2.0 ),25,Subtraction,There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase. How many roses did she cut?
chal-193,They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party,How many more chairs will they have to buy?,( 14.0 - ( 4.0 * 3.0 ) ),2,Subtraction,They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party How many more chairs will they have to buy?
chal-665,The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each t-shirt. During the Arkansas and Texas tech game they sold 177 t-shirts and 23 jerseys.,How much more does a t-shirt cost than a jersey?,( 240.0 - 210.0 ),30,Subtraction,The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each t-shirt. During the Arkansas and Texas tech game they sold 177 t-shirts and 23 jerseys. How much more does a t-shirt cost than a jersey?
chal-263,Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower.,How many more blocks did he use to build the house than he did to build the tower?,( 89.0 - 63.0 ),26,Subtraction,Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower. How many more blocks did he use to build the house than he did to build the tower?
chal-648,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 100 visitors came to the Buckingham palace on the previous day. If there were 666 visitors on that day",How many more visitors visited the Buckingham palace on that day than on the previous day?,( 666.0 - 100.0 ),566,Subtraction,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 100 visitors came to the Buckingham palace on the previous day. If there were 666 visitors on that day How many more visitors visited the Buckingham palace on that day than on the previous day?"
chal-811,Mary is baking a cake. The recipe calls for 6 cups of flour and 13 cups of sugar. She already put in some cups of flour. If she still needs 8 more cups of flour than sugar,How many more cups of flour does she need to add?,( 13.0 + 8.0 ),21,Addition,Mary is baking a cake. The recipe calls for 6 cups of flour and 13 cups of sugar. She already put in some cups of flour. If she still needs 8 more cups of flour than sugar How many more cups of flour does she need to add?
chal-233,Edward spent $ 16 to buy books and $ 8 to buy pens. Now he has $ 19.,How much more did Edward spend on books than pens?,( 16.0 - 8.0 ),8,Subtraction,Edward spent $ 16 to buy books and $ 8 to buy pens. Now he has $ 19. How much more did Edward spend on books than pens?
chal-796,Baker made 61 pastries and 167 cakes. If he sold 108 cakes and 44 pastries,How many cakes would baker still have?,( 167.0 - 108.0 ),59,Subtraction,Baker made 61 pastries and 167 cakes. If he sold 108 cakes and 44 pastries How many cakes would baker still have?
