Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"a bag contains 20 red jellybeans and 20 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 3 / 20 answer : option d""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",d,"divide(choose(20, 3), choose(add(20, 20), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
"a man spends 2 / 5 of his salary on house rent , 3 / 10 of his salary on food and 1 / 8 of his salary on conveyence . if he has rs . 1400 left with him , find his expenditure on food and conveyence .","""let the salary be x , therefore house rent = 2 x / 5 , food = 3 x / 10 , conveyence = x / 8 . it is given that left over salary is 1400 / - so , x - ( 2 x / 5 + 3 x / 10 + x / 10 ) = 1400 by solving x = 8000 expenditure on food = 3200 and conveyence = 1000 answer : c""","a ) 800 , b ) 900 , c ) 100 , d ) 700 , e ) 500",c,"add(multiply(divide(1400, subtract(1, add(add(divide(2, 5), divide(3, 10)), divide(1, 8)))), divide(3, 10)), multiply(divide(1400, subtract(1, add(add(divide(2, 5), divide(3, 10)), divide(1, 8)))), divide(1, 8)))","divide(n0,n1)|divide(n2,n3)|divide(n4,n5)|add(#0,#1)|add(#3,#2)|subtract(n4,#4)|divide(n6,#5)|multiply(#6,#1)|multiply(#6,#2)|add(#7,#8)|",general
"there are 17 students in a certain class . on the day the test was given , taqeesha was absent . the other 16 students took the test , and their average was 77 . the next day , taqeesha took the test , and with her grade included , the new average is 78 . what is taqeesha ’ s grade on the test ?","explanations 1 ) the average of the first 16 students is 77 . this means , the sum of these 16 scores is sum = ( average ) * ( number of scores ) = 77 * 16 = 1232 once taqeesha takes her test , the average of all 17 scores is 78 . this means , the sum of these 17 scores is : sum = ( average ) * ( number of scores ) = 78 * 17 = 1326 once we had the sum of the 16 scores , all we had to do was add taqeesha ’ s score to that total to get the sum of all 17 . therefore , the difference in these two sums is taqeesha ’ s score . 1326 – 1232 = 94 . answer : e .","a ) 78 , b ) 80 , c ) 87 , d ) 91 , e ) 94",e,"add(78, 16)","add(n1,n3)",general
"from january 1 , 1991 , to january 1 , 1993 , the number of people enrolled in health maintenance organizations increased by 15 percent . the enrollment on january 1 , 1993 , was 60 million . how many million people , to the nearest million , were enrolled in health maintenance organizations on january 1 , 1991 ?","""1.15 x = 60 - - > 23 / 20 * x = 60 - - > x = 60 * 20 / 23 = 1200 / 23 = ~ 52 . answer : e .""","a ) 38 , b ) 39 , c ) 40 , d ) 41 , e ) 52",e,"multiply(divide(const_100, add(const_100, 15)), 60)","add(n4,const_100)|divide(const_100,#0)|multiply(n7,#1)|",gain
"a reduction of 30 % in the price of oil enables a house wife to obtain 5 kgs more for rs . 800 , what is the reduced price for kg ?","""800 * ( 30 / 100 ) = 240 - - - - 5 ? - - - - 1 = > rs . 48 answer : c""","a ) 46 , b ) 47 , c ) 48 , d ) 49 , e ) 50",c,"divide(divide(multiply(800, 30), const_100), 5)","multiply(n0,n2)|divide(#0,const_100)|divide(#1,n1)|",gain
"a , b , c and d are 4 consecutive numbers . if the sum of a and dis 109 , what is the product of b and c ?","c 2970 here d = a + 3 a + a + 3 = 109 2 a = 106 a = 53 so , numbers are 53 , 54 , 55 and 56 ∴ b × c = 54 × 55 = 2970","a ) 2652 , b ) 2578 , c ) 2970 , d ) 3354 , e ) 4234",c,"multiply(add(divide(subtract(109, subtract(4, const_1)), const_2), const_1), add(add(divide(subtract(109, subtract(4, const_1)), const_2), const_1), const_1))","subtract(n0,const_1)|subtract(n1,#0)|divide(#1,const_2)|add(#2,const_1)|add(#3,const_1)|multiply(#3,#4)",general
"jane makes toy bears . when she works with an assistant , she makes 80 percent more bears per week and works 10 percent fewer hours each week . having an assistant increases jane ’ s output of toy bears per hour by what percent q ?","""c . let ' s assume just jane 40 bears per 40 / hrs a week , so that is 1 bear / hr . with an assistant she makes 72 bears per 36 hours a week or 2 bears / hr ( [ 40 bears * 1.8 ] / [ 40 hrs * . 90 ] ) . q = [ ( 2 - 1 ) / 1 ] * 100 % = 100 %""","a ) 20 % , b ) 80 % , c ) 100 % , d ) 180 % , e ) 200 %",c,"multiply(divide(10, subtract(subtract(const_100, 80), 10)), const_100)","subtract(const_100,n0)|subtract(#0,n1)|divide(n1,#1)|multiply(#2,const_100)|",physics
"a student traveled 25 percent of the distance of the trip alone , continued another 40 miles with a friend , and then finished the last half of the trip alone . how many miles long was the trip ?","""let x be the total length of the trip . 0.25 x + 40 miles + 0.5 x = x 40 miles = 0.25 x x = 160 miles the answer is c .""","a ) 120 , b ) 140 , c ) 160 , d ) 180 , e ) 200",c,"divide(40, subtract(subtract(const_1, inverse(25)), divide(const_1, const_2)))","divide(const_1,const_2)|inverse(n0)|subtract(const_1,#1)|subtract(#2,#0)|divide(n1,#3)|",physics
"of all the students in a certain dormitory , 1 / 2 are first - year students and the rest are second - year students . if 4 / 5 of the first - year students have not declared a major and if the fraction of second - year students who have declared a major is 4 times the fraction of first - year students who have declared a major , what fraction of all the students in the dormitory are second - year students who have not declared a major ?",tot students = x 1 st year student = x / 2 - - - - > non majaor = 4 / 5 ( x / 2 ) - - - - - > maj = 1 / 5 ( x / 2 ) 2 nd year student = x / 2 - - - - > maj = 4 ( 1 / 5 ( x / 2 ) ) = 2 / 5 ( x ) - - - > non major = x / 2 - 2 / 5 ( x ) = 1 / 5 ( x ) hence 1 / 5 d,"a ) 1 / 15 , b ) 4 / 5 , c ) 4 / 15 , d ) 1 / 5 , e ) 2 / 5",d,"subtract(const_1, divide(4, 5))","divide(n2,n3)|subtract(const_1,#0)",general
"if the personal income tax rate is lowered from 42 % to 28 % , what is the differential savings for a tax payer having an annual income before tax to the tune of $ 34500 ?","""saving = ( 42 - 28 ) % of 34500 = 4830 . answer : c""","a ) $ 3500 , b ) $ 5000 , c ) $ 4830 , d ) $ 7000 , e ) $ 10000",c,"multiply(divide(34500, const_100), subtract(42, 28))","divide(n2,const_100)|subtract(n0,n1)|multiply(#0,#1)|",gain
solve the equation for x : 5 x - 14 + 3 x = 4 + 9 - x,"""e 3 8 x + x = 13 + 14 9 x = 27 = > x = 3""","a ) 4 , b ) 5 , c ) 7 , d ) 9 , e ) 3",e,"divide(add(14, 4), add(5, 5))","add(n1,n3)|add(n0,n0)|divide(#0,#1)|",general
"the positive integers a and b leave remainders of 2 and 3 , respectively , when divided by 6 . a > b . what is the remainder when a – b is divided by 6 ?","let ' s test out some values of m and n that satisfy the given information . a leaves are remainder of 2 when divided by 6 so , a could equal 8 b leaves are remainder of 3 when divided by 6 so , b could equal 3 what is the remainder when a – b is divided by 6 ? so , a - b = 8 - 3 = 5 , and when we divide 5 by 6 , we get 0 with remainder 5 answer : c","a ) 4 , b ) 3 , c ) 5 , d ) 2 , e ) 1",c,"add(reminder(2, 6), reminder(3, 6))","reminder(n0,n2)|reminder(n1,n2)|add(#0,#1)",general
john left home and drove at the rate of 35 mph for 2 hours . he stopped for lunch then drove for another 3 hours at the rate of 55 mph to reach his destination . how many miles did john drive ?,"""the total distance d traveled by john is given by d = 35 * 2 + 3 * 55 = 235 miles . answer a""","a ) 235 miles . , b ) 245 miles . , c ) 255 miles . , d ) 265 miles . , e ) 275 miles .",a,"add(multiply(35, 2), multiply(3, 55))","multiply(n0,n1)|multiply(n2,n3)|add(#0,#1)|",physics
"a team won 40 percent of its first 30 games in a particular season , and 80 percent of its remaining games . if the team won a total of 70 percent of its games that season , what was the total number of games that the team played ?","""70 % is 30 % - points above 40 % and 10 % - points below 80 % . thus the ratio of ` ` the first 30 games ' ' to ` ` remaining games ' ' is 1 : 3 . so the team played a total of 30 + 90 = 120 games . the answer is c .""","a ) 60 , b ) 90 , c ) 120 , d ) 150 , e ) 180",c,"divide(multiply(30, divide(40, const_100)), subtract(divide(80, const_100), divide(70, const_100)))","divide(n0,const_100)|divide(n2,const_100)|divide(n3,const_100)|multiply(n1,#0)|subtract(#1,#2)|divide(#3,#4)|",gain
"mangoes , oranges and apples in a fruit shop are in the ratio of 10 : 2 : 3 . if there are 120 mangoes , the number of apples in the shop is : .","explanation : let mangoes = 10 x , oranges = 2 x & apples = 3 x . now , 10 x = 120 hence x = 12 . number of apples = 3 x = 36 . answer : a","a ) 36 , b ) 42 , c ) 72 , d ) 400 , e ) 56",a,"multiply(divide(120, 10), 3)","divide(n3,n0)|multiply(n2,#0)",other
"the average ( arithmetic mean ) of 20 , 40 , and 60 is 9 more than the average of 10 , 70 , and what number ?","""a 1 = 120 / 3 = 40 a 2 = a 1 - 9 = 31 sum of second list = 31 * 3 = 93 therefore the number = 93 - 80 = 13 answer : d""","a ) 15 , b ) 25 , c ) 35 , d ) 13 , e ) 55",d,"subtract(add(add(20, 40), 60), add(add(multiply(9, const_3), 10), 70))","add(n0,n1)|multiply(n3,const_3)|add(n2,#0)|add(n4,#1)|add(n5,#3)|subtract(#2,#4)|",general
"if 4 xz + yw = 3 and xw + yz = 6 , what is the value of the expression ( 2 x + y ) ( 2 z + w ) ?","""expand this to get : ( 2 x + y ) ( 2 z + w ) = 4 xz + 2 xw + 2 yz + yw = 4 xz + yw + 2 xw + 2 yz [ i rearranged the terms ] = 3 + 2 xw + 2 yz [ replaced 4 xz + yw with 3 ] = 3 + 2 ( xw + yz ) factored out a 2 = 3 + 2 ( 6 ) = 3 + 12 = 15 answer : c""","a ) 9 . , b ) 12 . , c ) 15 . , d ) 16 , e ) 18 .",c,"add(const_4.0, multiply(6, 2))","multiply(n2,n3)|add(n1,#0)|",general
the sum of three consecutive even numbers is 42 . find the middle number of the three ?,"""three consecutive even numbers ( 2 p - 2 ) , 2 p , ( 2 p + 2 ) . ( 2 p - 2 ) + 2 p + ( 2 p + 2 ) = 42 6 p = 42 = > p = 7 . the middle number is : 2 p = 14 . answer : a""","a ) 14 , b ) 66 , c ) 88 , d ) 99 , e ) 12",a,"add(add(power(add(add(divide(subtract(subtract(42, const_10), const_2), const_4), const_2), const_2), const_2), power(add(add(add(divide(subtract(subtract(42, const_10), const_2), const_4), const_2), const_2), const_2), const_2)), add(power(divide(subtract(subtract(42, const_10), const_2), const_4), const_2), power(add(divide(subtract(subtract(42, const_10), const_2), const_4), const_2), const_2)))","subtract(n0,const_10)|subtract(#0,const_2)|divide(#1,const_4)|add(#2,const_2)|power(#2,const_2)|add(#3,const_2)|power(#3,const_2)|add(#5,const_2)|add(#4,#6)|power(#5,const_2)|power(#7,const_2)|add(#9,#10)|add(#11,#8)|",physics
"in may mrs lee ' s earnings were 60 percent of the lee family ' s total income . in june mrs lee earned 20 percent more than in may . if the rest of the family ' s income was the same both months , then , in june , mrs lee ' s earnings were approximately what percent of the lee family ' s total income ?","""say may income = 100 l ' s income = 60 and rest of the family = 40 in june l ' s income = 60 * 120 / 100 = 72 so 72 / 72 + 40 = 64 % answer : a""","a ) 64 % , b ) 68 % , c ) 72 % , d ) 76 % , e ) 80 %",a,"multiply(divide(add(const_100, 20), add(add(const_100, 20), const_100)), const_100)","add(n1,const_100)|add(#0,const_100)|divide(#0,#1)|multiply(#2,const_100)|",general
two cars start at the same time from opposite ends of a highway that is 105 miles long . one car is riding at 15 mph and the second car is riding at 20 mph . how long after they begin will they meet ?,"""as cars are moving in opposite directions their speeds will be added . so their relative speeds : 20 + 15 = 35 mph total distance to be covered = 105 miles . time taken would be : 105 miles / 35 mph = 3 hours c is the answer .""","a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",c,"divide(105, add(15, 20))","add(n1,n2)|divide(n0,#0)|",physics
the sum of the ages of 5 children born at the intervals of 3 year each is 40 year . what is the age of the youngest child ?,"""solution let the ages of the children be x , ( x + 3 ) , ( x + 6 ) , ( x + 9 ) and ( x + 12 ) year . then , x + ( x + 3 ) + ( x + 6 ) + ( x + 9 ) + ( x + 12 ) = 40 â ‡ ” 5 x = 10 â ‡ ” x = 2 . â ˆ ´ age of the youngest child = x = 2 years . answer a""","a ) 2 year , b ) 8 year , c ) 10 year , d ) none of these , e ) 9 year",a,"divide(subtract(divide(40, divide(5, 3)), multiply(subtract(5, const_1), 3)), 3)","divide(n0,n1)|subtract(n0,const_1)|divide(n2,#0)|multiply(n1,#1)|subtract(#2,#3)|divide(#4,n1)|",general
"the average age of 15 students of a class is 15 years . out of these , the average age of 6 students is 14 years and that of the other 9 students is 16 years , the age of the 15 th student is","""explanation : age of the 15 th student = [ 15 * 15 - ( 14 * 6 + 16 * 8 ) ] = 13 years . answer : c""","a ) 11 , b ) 12 , c ) 13 , d ) 14 , e ) 15",c,"subtract(multiply(15, 15), add(multiply(6, 14), multiply(9, 16)))","multiply(n0,n0)|multiply(n2,n3)|multiply(n4,n5)|add(#1,#2)|subtract(#0,#3)|",general
find the annual income derived by investing $ 6800 in 10 % stock at 136 .,"""by investing $ 136 , income obtained = $ 10 . by investing $ 6800 , income obtained = $ [ ( 10 / 136 ) * 6800 ] = $ 500 . answer b .""","a ) 550 , b ) 500 , c ) 250 , d ) 300 , e ) 400",b,"divide(multiply(6800, 10), 136)","multiply(n0,n1)|divide(#0,n2)|",gain
find the sum of first 32 natural numbers,"""explanation : sum of n natural numbers = n ( n + 1 ) / 2 = 32 ( 32 + 1 ) / 2 = 32 ( 33 ) / 2 = 528 answer : option e""","a ) 470 , b ) 468 , c ) 465 , d ) 463 , e ) 528",e,"add(divide(divide(32, divide(divide(divide(divide(divide(32, const_2), const_2), const_2), const_2), const_2)), const_2), add(const_1, sqrt(divide(divide(32, divide(divide(divide(divide(divide(32, const_2), const_2), const_2), const_2), const_2)), const_2))))","divide(n0,const_2)|divide(#0,const_2)|divide(#1,const_2)|divide(#2,const_2)|divide(#3,const_2)|divide(n0,#4)|divide(#5,const_2)|sqrt(#6)|add(#7,const_1)|add(#8,#6)|",general
"how many 4 digit numbers are there , if it is known that the first digit is odd , the second is even , the third is prime , the fourth ( units digit ) is divisible by 3 , and the digit 2 can be used only once ?","""4 options for the first digit : 1 , 3 , 5 , 7 , 9 ; 5 options for the second digit : 0 , 2 , 4 , 6 , 8 ; 4 options for the third digit : 2 , 3 , 5 , 7 ; 4 options for the fourth digit : 0 , 3 , 6 , 9 . four digit # possible without the restriction ( about the digit 2 ) : 5 * 5 * 4 * 4 = 400 numbers with two 2 - s , 2 x 2 x 5 * 1 * 1 * 4 = 20 . thus there are 400 - 20 = 380 such numbers . answer : e .""","a ) 20 , b ) 150 , c ) 225 , d ) 300 , e ) 380",e,"subtract(multiply(multiply(add(4, const_1), add(4, const_1)), multiply(4, 4)), multiply(multiply(add(4, const_1), add(4, const_1)), 4))","add(n0,const_1)|multiply(n0,n0)|multiply(#0,#0)|multiply(#2,#1)|multiply(#2,n0)|subtract(#3,#4)|",physics
"there are 60 people and 3 clubs m , s , and z in a company . 16 people joined m , 18 people joined s and 11 people joined z . if the members of m did not join any other club , at most , how many people of the company did not join any club ?","answer e . key is ' atmost ' here . so 16 people joined m . 18 people joined s and 11 people joined z . to get maximum people who did not join any club , 11 people who joined z are among 18 people who joined s . so 18 + 16 = 34 60 - 34 = 26","a ) 22 , b ) 23 , c ) 24 , d ) 25 , e ) 26",e,"subtract(subtract(60, 16), 18)","subtract(n0,n2)|subtract(#0,n3)",physics
3 * 14 + 3 * 15 + 3 * 18 + 11 = ?,"""3 * 14 + 3 * 15 + 3 * 18 + 11 = 42 + 45 + 54 + 11 = 152 the answer is e .""","a ) 125 , b ) 126 , c ) 130 , d ) 148 , e ) 152",e,"add(add(add(multiply(3, 14), multiply(3, 15)), multiply(3, 18)), 11)","multiply(n0,n1)|multiply(n0,n3)|multiply(n0,n5)|add(#0,#1)|add(#3,#2)|add(n6,#4)|",general
how many digits 2 ^ 10 has ?,"""2 ^ 10 = 1.024 * 10 ^ 3 therefore 3 digits would be my best guess a""","a ) 3 , b ) 35 , c ) 50 , d ) 99 , e ) 101",a,"floor(add(const_1, multiply(divide(log(2), log(const_10)), 10)))","log(n0)|log(const_10)|divide(#0,#1)|multiply(n1,#2)|add(#3,const_1)|floor(#4)|",general
550 − ( 104 ÷ 20.8 ) = ?,"""explanation : = 550 − ( 104 / 208 x 10 ) = 550 − 5 = 545 option a""","a ) 545 , b ) 525 , c ) 535 , d ) 625 , e ) 105",a,"subtract(550, divide(104, 20.8))","divide(n1,n2)|subtract(n0,#0)|",general
what is the greatest prime factor of 4 ^ 6 - 1 ?,"""4 ^ 6 - 1 = ( 4 ^ 3 - 1 ) ( 4 ^ 3 + 1 ) = 63 * 65 = 7 * 9 * 5 * 13 the answer is a .""","a ) 13 , b ) 17 , c ) 19 , d ) 23 , e ) 29",a,"floor(divide(4, divide(6, const_2)))","divide(n1,const_2)|divide(n0,#0)|floor(#1)|",general
"a worker ' s take - home pay last year was the same each month , and she saved the same fraction of her take - home pay each month . the total amount of money that she had saved at the end of the year was 4 times the amount of that portion of her monthly take - home pay that she did not save . if all the money that she saved last year was from her take - home pay , what fraction of her take - home pay did she save each month ?","""let x be the fraction of her take - home pay that the worker saved . let p be the monthly pay . 12 xp = 4 ( 1 - x ) p 12 xp = 4 p - 4 xp 16 xp = 4 p x = 1 / 4 the answer is b .""","a ) 1 / 3 , b ) 1 / 4 , c ) 1 / 5 , d ) 1 / 6 , e ) 1 / 7",b,"inverse(add(divide(const_12, 4), const_1))","divide(const_12,n0)|add(#0,const_1)|inverse(#1)|",general
find the simple interest on rs . 620 for 10 months at 10 paisa per month ?,"""i = ( 620 * 10 * 10 ) / 100 = 620 answer : b""","a ) 277 , b ) 620 , c ) 640 , d ) 678 , e ) 121",b,"multiply(620, divide(10, const_100))","divide(n1,const_100)|multiply(n0,#0)|",gain
"one pump drains one - half of a pond in 4 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?","""first pump drains 1 / 2 of the tank in 4 hours so 8 hours it will take to drain the full tank . let , 2 nd pump drains the full tank in a hours so both together can drain ( 1 / 8 + 1 / a ) part in 1 hour son in 1 / 2 hour they drain 1 / 2 * ( 1 / 8 + 1 / a ) part of the tank given that in 1 / 2 hour they drain 1 / 2 of the tank hence we can say 1 / 2 * ( 1 / 8 + 1 / a ) = 1 / 2 solving u get a = 8 / 7 = 1.1 hence answer is b""","a ) 1 hour , b ) 1.1 hour , c ) 3 hours , d ) 5 hours , e ) 6 hours",b,"divide(const_1, subtract(const_1, divide(const_1, multiply(4, const_2))))","multiply(n0,const_2)|divide(const_1,#0)|subtract(const_1,#1)|divide(const_1,#2)|",physics
"if 0.60 : x : : 6 : 4 , then x is equal to","""sol . ( x × 6 ) = ( 0.60 × 4 ) ⇒ x = 2.4 / 6 = 0.40 . answer b""","a ) 0.1 , b ) 0.4 , c ) 0.82 , d ) 0.8 , e ) none",b,"divide(multiply(0.60, 4), 6)","multiply(n0,n2)|divide(#0,n1)|",general
"in a small snack shop , the average ( arithmetic mean ) revenue was $ 400 per day over a 10 - day period . during this period , if the average daily revenue was $ 360 for the first 6 days , what was the average daily revenue for the last 4 days ?",the average revenue was $ 400 per day over a 10 - day period - - > total revenue over 10 - day period is 10 * $ 400 = $ 4000 ; the average daily revenue was $ 360 for the first 6 days - - > total revenue for the first 6 days is 6 * $ 360 = 2160 ; total revenue for the last 4 days is $ 4000 - 2160 = $ 1840 ; average daily revenue for the last 4 days is $ 1840 / 4 = $ 460 . answer : d .,"a ) $ 420 , b ) $ 440 , c ) $ 450 , d ) $ 460 , e ) $ 480",d,"divide(subtract(multiply(400, 10), multiply(360, 6)), 4)","multiply(n0,n1)|multiply(n2,n3)|subtract(#0,#1)|divide(#2,n4)",general
"water boils at 212 ° f or 100 ° c and ice melts at 32 ° f or 0 ° c . if the temperature of a pot of water is 50 ° c , what is the temperature of the pot of water in ° f ?",let f and c denote the temperature in fahrenheit and celsius respectively . ( f - 32 ) / ( 212 - 32 ) = ( c - 0 ) / ( 100 - 0 ) f = 9 c / 5 + 32 f = 9 ( 50 ) / 5 + 32 = 122 ° f the answer is d .,"a ) 101 ° f , b ) 108 ° f , c ) 116 ° f , d ) 122 ° f , e ) 127 ° f",d,"add(multiply(divide(subtract(212, 32), 100), 50), 32)","subtract(n0,n2)|divide(#0,n1)|multiply(n4,#1)|add(n2,#2)",physics
"louie takes out a 3 - month loan of $ 1000 . the lender charges him 10 % interest per month compunded monthly . the terms of the loan state that louie must repay the loan in 3 equal monthly payments . to the nearest dollar , how much does louie have to pay each month ?",let the monthly payment be xx . after the 1 st month there will be 1000 ∗ 1.1 − x dollars left to repay ; after the 2 nd month there will be ( 1000 ∗ 1.1 − x ) ∗ 1.1 − x = 1210 − 2.1 x dollars left to repay ; after the 3 rd month there should be 0 dollars left to repay : ( 1210 − 2.1 x ) ∗ 1.1 − x = 0 - - > 1331 = 3.31 x - - > x ≈ 402 x ≈ 402 answer : c .,"a ) 333 , b ) 383 , c ) 402 , d ) 433 , e ) 483",c,"divide(multiply(multiply(multiply(1000, add(const_1, divide(10, const_100))), add(const_1, divide(10, const_100))), add(const_1, divide(10, const_100))), add(const_1, multiply(add(const_1, add(const_1, divide(10, const_100))), add(const_1, divide(10, const_100)))))","divide(n2,const_100)|add(#0,const_1)|add(#1,const_1)|multiply(n1,#1)|multiply(#1,#3)|multiply(#2,#1)|add(#5,const_1)|multiply(#1,#4)|divide(#7,#6)",general
"when positive integer n is divided by positive integer j , the remainder is 26 . if n / j = 150.40 , what is value of j ?","""when a number is divided by another number , we can represent it as : dividend = quotient * divisor + remainder so , dividend / divisor = quotient + remainder / divisor given that n / j = 150.40 here 150 the quotient . given that remainder = 26 so , 150.40 = 150 + 26 / j so , j = 65 answer : b""","a ) 75 , b ) 65 , c ) 60 , d ) 130 , e ) 30",b,"divide(26, subtract(150.40, add(const_100, add(multiply(const_4, const_10), const_2))))","multiply(const_10,const_4)|add(#0,const_2)|add(#1,const_100)|subtract(n1,#2)|divide(n0,#3)|",general
"kim has 9 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 18 shoes , what is the probability that she will select 2 shoes of the same color ?","""can be tackled in this way as well : probability of selecting any 1 out of 10 shoes = 18 / 18 = 1 probability of selecting the next shoe ( out of 18 available ) having the same color = 1 / 18 ( as after selecting the 1 st one , there is only 1 another shoe left with the same color ) . thus the total probability = 1 * 1 / 17 = 1 / 17 . d is the correct answer .""","a ) 2 / 5 , b ) 11 / 5 , c ) 1 / 9 , d ) 1 / 17 , e ) 1 / 5",d,"divide(9, choose(18, 2))","choose(n2,n1)|divide(n0,#0)|",probability
"rahim bought 4 pillows with the average cost of $ 5 . if rahim also buys the fifth pillow with the price of $ 10 , what is the average ( arithmetic mean ) price of those 5 pillows ?",4 pillowss - > total cost = 4 * avg cost = 4 * 5 = 20 fifth pillow cost = 10 total cost for 5 pillows = 20 + 10 = 30 am = 30 / 5 = 6 hence a,"a ) $ 6 , b ) $ 5 , c ) $ 5.5 , d ) $ 6.5 , e ) $ 7",a,"divide(add(multiply(4, 5), 10), 5)","multiply(n0,n1)|add(n2,#0)|divide(#1,n1)",general
"there 3 kinds of books in the library physics , chemistry and biology . ratio of physics to chemistry is 3 to 2 ; ratio of chemistry to biology is 4 to 3 , and the total of the books is more than 3000 . which one of following can be the total e of the book ?","""first , you have to find the common ratio for all 3 books . you have : p : c : b 3 : 2 - - > multiply by 2 ( gives you row 3 ) 4 : 6 6 : 4 : 3 hence : p : c : b : t ( total ) 6 : 4 : 3 : 13 - - - - > this means , the total number e must be a multiple of 13 . answer a is correct since 299 is divisible by 13 , hence is 2990 and so is 3003 ( 2990 + 13 ) .""","a ) 3003 , b ) 3027 , c ) 3024 , d ) 3021 , e ) 3018",a,"add(3000, 3)","add(n0,n5)|",other
- 84 x 19 + 100 = ?,"""given exp . = - 84 x ( 20 - 1 ) + 100 = - ( 84 x 20 ) + 84 + 100 = - 1680 + 184 = - 1496 answer is c""","a ) 2436 , b ) 2801 , c ) - 1496 , d ) - 2071 , e ) none of them",c,"multiply(subtract(const_1, const_2), subtract(multiply(84, 19), 100))","multiply(n0,n1)|subtract(const_1,const_2)|subtract(#0,n2)|multiply(#1,#2)|",general
"the length of a rectangle is halved , while its breadth is tripled . whatis the % change in area ?","""let original length = x and original breadth new length = x . 2 new breadth = 3 y . new area = x x 3 y = 3 xy . 2 2 increase % = 1 xy x 1 x 100 % = 50 % . 2 xy c""","a ) 30 % , b ) 40 % , c ) 50 percent , d ) 60 % , e ) 70 %",c,"multiply(divide(subtract(multiply(const_3, divide(const_1, const_2)), const_1), const_1), const_100)","divide(const_1,const_2)|multiply(#0,const_3)|subtract(#1,const_1)|divide(#2,const_1)|multiply(#3,const_100)|",geometry
"john bought a shirt on sale for 25 % off the original price and another 25 % off the discounted price . if the final price was $ 15 , what was the price before the first discount ?","""let x be the price before the first discount . the price after the first discount is x - 25 % x ( price after first discount ) a second discount of 25 % of the discounted price after which the final price is 15 ( x - 25 % x ) - 25 % ( x - 25 % x ) = 15 solve for x x = $ 26.66 correct answer d""","a ) $ 45.10 , b ) $ 34.31 , c ) $ 28.44 , d ) $ 26.66 , e ) $ 65.23",d,"divide(multiply(multiply(const_100, const_100), 15), subtract(multiply(subtract(const_100, 25), const_100), multiply(subtract(const_100, 25), 25)))","multiply(const_100,const_100)|subtract(const_100,n0)|multiply(n2,#0)|multiply(#1,const_100)|multiply(n0,#1)|subtract(#3,#4)|divide(#2,#5)|",gain
the average of first six prime numbers which are between 20 and 60 is,"""explanation : first six prime numbers which are between 20 and 60 = 23 , 29 , 31 , 37 , 41 , 43 average = ( 23 + 29 + 31 + 37 + 41 + 43 ) / 6 = 34 answer : a""","a ) 34 , b ) 42 , c ) 45.7 , d ) 57 , e ) 67",a,"add(20, const_1)","add(n0,const_1)|",general
"the length of the bridge , which a train 155 metres long and travelling at 45 km / hr can cross in 30 seconds , is :","""let the length of the bridge : l the equation now is l + 155 / 12.5 m / s ( 45 km / hr or 12.5 m / s ) = 30 solving , l = 220 m answer : a""","a ) 220 m , b ) 225 m , c ) 245 m , d ) 250 m , e ) 270 m",a,"subtract(multiply(divide(multiply(45, speed(const_1000, const_1)), speed(const_3600, const_1)), 30), 155)","speed(const_1000,const_1)|speed(const_3600,const_1)|multiply(n1,#0)|divide(#2,#1)|multiply(n2,#3)|subtract(#4,n0)|",physics
